id,name,type,sex,age,education
WB,Willy Bogner GmbH & Co. KGaA,2,NA,NA,NA
HAW,Hawesko,2,NA,NA,NA
AUG,Augusta,2,NA,NA,NA
LIN,Linde AG,2,NA,NA,NA
IV,Ivoclar Vivadent AG,2,NA,NA,NA
BMW,BMW,2,NA,NA,NA
FO,Ford,2,NA,NA,NA
LaHo,LafargeHolcim,2,NA,NA,NA
Doepfner,Dr. Mathias Döpfner,1,1,56,3
GJ,Gruner + Jahr,2,NA,NA,NA
WP,Berliner Wochenpost,2,NA,NA,NA
HP,Hamburger Morgenpost,2,NA,NA,NA
DW,DIE WELT,2,NA,NA,NA
BDZ,Bundesverband Deutscher Zeitungsverleger,2,NA,NA,NA
BI,"Business Insider  Inc., USA",2,NA,NA,NA
eM,"eMarketer Inc., USA",2,NA,NA,NA
Net,Netflix  Inc.,2,NA,NA,NA
RAS,"Ringier Axel Springer AG, Schweiz",2,NA,NA,NA
WMG,"Warner Music Group, USA",2,NA,NA,NA
Sch,Schering AG,2,NA,NA,NA
WM,WarnerMedia,2,NA,NA,NA
VG,Vodafone Group Public Limited Company,2,NA,NA,NA
BHF,BHF Kleinwort Benson Group SA,2,NA,NA,NA
RCS,RCS MediaGroup,2,NA,NA,NA
EPC,European Publishers Council,2,NA,NA,NA
AA,"American Academy, Berlin",2,NA,NA,NA
CFR,Council on Foreign Relations,2,NA,NA,NA
AJC,American Jewish Committee,2,NA,NA,NA
Lanz,Lothar Lanz,1,1,71,1
BHW,Bayrische Hypotheken und Wechselbank AG,2,NA,NA,NA
HSB,HSB Hypo Service Bank AG,2,NA,NA,NA
NS,Nassauische Sparkasse,2,NA,NA,NA
PSM,ProSiebenSat. 1 Media AG,2,NA,NA,NA
ZS,Zalando SE,2,NA,NA,NA
H24,Home24,2,NA,NA,NA
BW,Bauwert AG,2,NA,NA,NA
TAG,TAG Immobilien AG,2,NA,NA,NA
DH,Dermapharm Holding SE,2,NA,NA,NA
KAB,Kinnevik AB,2,NA,NA,NA
Varsavsky,Martin Varsavsky,1,1,59,2
JT,Jazztel Telecomunicaciones,2,NA,NA,NA
YA,Yacom,2,NA,NA,NA
FON,FON,2,NA,NA,NA
OL,Overture Life,2,NA,NA,NA
PF,Prelude Fertitiy ,2,NA,NA,NA
FW,Fon Wireless,2,NA,NA,NA
Deutz,Dr. Julian Deutz,1,1,51,3
STE,Steilmann SE,2,NA,NA,NA
AWI,AWIN AG,2,NA,NA,NA
ASDCF,"Axel Springer Digital Classifieds France SAS, Frankreich",2,NA,NA,NA
COMT,"CompuTel Telefonservice AG, Schweiz",2,NA,NA,NA
DTV,"Dogan TV Holding A.S., Türkei",2,NA,NA,NA
JF,"Jean Frey AG, Schweiz",2,NA,NA,NA
SeL,"SeLoger.com SAS, Frankreich",2,NA,NA,NA
StSt,StepStone GmbH,2,NA,NA,NA
Wiele,Dr. Andreas Wiele,1,1,57,3
CaM,Capital Magazin,2,NA,NA,NA
GEO,Geo Magazin,2,NA,NA,NA
FCM,Family Circle Magazin,2,NA,NA,NA
MCM,Mc Call's Magazin,2,NA,NA,NA
BILD,BILD Gruppe,2,NA,NA,NA
ClM,Classifieds Media,2,NA,NA,NA
